company_id,cluster_id,cluster_name,distance_from_centroid
ABB,0,High-Quality Compounders,0.389
ADANIENSOL,0,High-Quality Compounders,1.369
ADANIENT,0,High-Quality Compounders,1.343
ADANIGREEN,3,Defensive Dividend,2.463
ADANIPORTS,2,Value Cyclicals,1.15
ADANIPOWER,0,High-Quality Compounders,1.041
AMBUJACEM,0,High-Quality Compounders,1.072
APOLLOHOSP,0,High-Quality Compounders,0.609
ASIANPAINT,0,High-Quality Compounders,0.312
AXISBANK,3,Defensive Dividend,1.324
BAJAJ-AUTO,0,High-Quality Compounders,0.457
BAJAJFINSV,1,Emerging Growth,1.004
BAJAJHLDNG,2,Value Cyclicals,2.481
BAJFINANCE,1,Emerging Growth,1.455
BANKBARODA,3,Defensive Dividend,1.486
BEL,4,Turnaround,0.764
BHARTIARTL,2,Value Cyclicals,1.561
BHEL,0,High-Quality Compounders,2.314
BOSCHLTD,0,High-Quality Compounders,0.732
BPCL,0,High-Quality Compounders,1.008
BRITANNIA,0,High-Quality Compounders,0.374
CANBK,3,Defensive Dividend,2.281
CHOLAFIN,1,Emerging Growth,1.317
CIPLA,2,Value Cyclicals,0.751
COALINDIA,2,Value Cyclicals,1.116
DABUR,0,High-Quality Compounders,0.533
DIVISLAB,0,High-Quality Compounders,0.467
DLF,0,High-Quality Compounders,2.315
DMART,0,High-Quality Compounders,1.388
DRREDDY,0,High-Quality Compounders,0.465
EICHERMOT,0,High-Quality Compounders,0.366
GAIL,0,High-Quality Compounders,0.38
GODREJCP,0,High-Quality Compounders,0.737
GRASIM,0,High-Quality Compounders,1.769
HAL,4,Turnaround,0.764
HAVELLS,0,High-Quality Compounders,0.543
HCLTECH,0,High-Quality Compounders,0.512
HDFCBANK,3,Defensive Dividend,1.658
HDFCLIFE,2,Value Cyclicals,1.307
HEROMOTOCO,2,Value Cyclicals,1.672
HINDALCO,2,Value Cyclicals,0.576
HINDUNILVR,2,Value Cyclicals,0.697
ICICIBANK,3,Defensive Dividend,1.035
ICICIGI,2,Value Cyclicals,0.489
ICICIPRULI,2,Value Cyclicals,0.961
INDIGO,2,Value Cyclicals,1.518
INDUSINDBK,3,Defensive Dividend,1.42
INFY,0,High-Quality Compounders,0.709
IOC,0,High-Quality Compounders,1.585
IRCTC,0,High-Quality Compounders,1.11
IRFC,3,Defensive Dividend,1.624
ITC,0,High-Quality Compounders,0.974
JINDALSTEL,0,High-Quality Compounders,1.397
JIOFIN,2,Value Cyclicals,0.629
JSWENERGY,0,High-Quality Compounders,1.428
JSWSTEEL,0,High-Quality Compounders,0.751
KOTAKBANK,2,Value Cyclicals,1.191
LICI,0,High-Quality Compounders,0.796
LODHA,0,High-Quality Compounders,1.963
LT,0,High-Quality Compounders,0.714
LTIM,0,High-Quality Compounders,2.644
M&M,0,High-Quality Compounders,1.123
MARUTI,0,High-Quality Compounders,0.342
MOTHERSON,0,High-Quality Compounders,0.537
NAUKRI,0,High-Quality Compounders,0.925
NESTLEIND,0,High-Quality Compounders,0.543
NHPC,0,High-Quality Compounders,1.765
NTPC,0,High-Quality Compounders,0.497
ONGC,0,High-Quality Compounders,1.683
PFC,1,Emerging Growth,2.322
PIDILITIND,0,High-Quality Compounders,0.3
PNB,1,Emerging Growth,1.499
POWERGRID,2,Value Cyclicals,1.421
RECLTD,1,Emerging Growth,2.272
RELIANCE,0,High-Quality Compounders,1.73
SBILIFE,0,High-Quality Compounders,1.982
SHREECEM,0,High-Quality Compounders,0.278
SHRIRAMFIN,1,Emerging Growth,1.452
SIEMENS,0,High-Quality Compounders,0.362
SUNPHARMA,0,High-Quality Compounders,0.392
TATACONSUM,0,High-Quality Compounders,0.738
TATAMOTORS,0,High-Quality Compounders,1.811
TATAPOWER,0,High-Quality Compounders,0.725
TATASTEEL,0,High-Quality Compounders,0.631
TCS,0,High-Quality Compounders,1.967
TECHM,0,High-Quality Compounders,0.6
TITAN,0,High-Quality Compounders,1.45
TORNTPHARM,0,High-Quality Compounders,0.733
TRENT,0,High-Quality Compounders,3.465
TVSMOTOR,0,High-Quality Compounders,1.301
,0,High-Quality Compounders,0.338
,0,High-Quality Compounders,0.338
